5.55	349.41	361.91	384.1	369.11	272.5	309.77	411.13	222.92	157.55	177.44	169.6	157.91	146.02	149.16	252.6	345.33	229.75	239.55	290.77	277.19
356.84	1.65	53.61	39.76	42.85	97.79	43.33	135.18	196.29	194.42	214.26	187.39	217.45	206.88	201.93	135.87	308.59	199.45	186.11	152.57	142.86
364.3	53.06	4.56	34.95	10.69	130.26	71.29	110.54	154.19	223.25	243.58	215.14	210.98	220.87	222.87	160.2	266.09	152.32	144.85	109.31	98.99
387.18	38.83	34.35	4.15	29.48	126.05	75.42	146.84	172.47	228.0	248.42	218.52	229.96	239.01	245.22	156.68	285.94	174.72	163.08	136.36	126.26
375.79	43.92	9.77	29.4	2.24	120.04	69.9	119.65	161.44	224.3	243.1	215.13	215.03	226.06	230.61	152.57	270.27	157.27	147.46	110.5	99.87
275.49	98.95	130.02	124.61	120.23	2.22	59.06	150.78	189.19	115.49	136.74	106.13	123.23	114.34	106.72	36.78	302.9	187.97	197.58	229.04	218.76
315.24	43.07	71.64	74.95	69.77	58.18	1.84	93.9	210.03	155.99	177.02	147.36	178.64	169.26	164.47	89.59	324.06	213.71	200.84	176.54	166.39
414.53	136.18	110.49	146.57	119.03	150.34	93.26	3.67	198.42	247.24	296.69	238.08	257.01	266.13	279.28	181.41	313.1	198.17	187.69	138.86	140.88
226.01	193.53	153.03	172.39	158.88	189.23	209.88	198.18	3.76	91.57	109.69	100.41	69.45	78.33	83.97	161.66	125.85	15.37	24.95	79.98	65.37
162.74	195.14	222.37	227.71	224.12	115.1	156.48	247.4	92.5	4.0	23.23	12.04	26.21	16.77	11.36	86.34	208.0	91.77	100.69	150.56	146.48
181.09	213.64	241.84	247.5	242.77	134.43	176.69	295.76	108.53	21.88	4.15	31.0	42.71	32.94	29.52	106.14	216.73	109.88	120.19	178.09	162.16
168.93	185.68	213.35	218.7	214.28	105.71	146.99	238.32	101.28	12.19	31.62	2.79	35.33	25.36	19.15	87.21	215.9	100.0	109.68	159.59	155.3
162.53	216.85	210.26	229.96	215.77	123.29	179.74	257.39	69.84	26.72	43.67	34.96	2.01	13.4	18.41	96.95	178.18	67.53	77.75	138.15	123.61
152.07	206.33	220.97	238.64	225.58	114.48	169.42	265.61	78.2	17.73	33.59	26.43	13.3	3.42	9.84	87.31	187.44	77.68	86.51	147.84	134.21
152.54	201.85	221.14	244.54	232.5	107.02	163.61	278.85	84.08	12.85	31.38	19.72	18.82	10.69	3.51	80.78	199.1	83.2	93.1	144.69	139.97
255.27	135.95	162.85	156.83	148.8	36.32	91.9	181.51	161.78	85.18	105.46	89.36	96.46	86.93	79.17	1.99	276.28	160.61	170.37	220.15	216.78
348.58	307.3	269.03	286.43	270.98	303.42	323.67	313.19	125.87	206.88	217.34	216.39	179.86	188.16	198.65	277.17	4.7	118.67	126.67	178.4	181.78
233.3	199.61	155.22	175.1	161.73	188.06	212.73	198.61	16.05	90.86	113.39	99.98	67.88	76.41	82.87	160.35	117.06	5.28	13.74	62.59	69.22
243.53	186.38	140.13	163.55	147.75	197.64	200.69	188.21	25.92	100.59	126.8	109.96	77.5	86.65	93.34	170.13	127.67	13.26	4.47	55.39	61.96
292.81	151.15	108.57	136.41	109.24	229.48	176.53	138.53	80.11	150.23	178.06	159.56	138.34	147.37	142.93	220.16	176.39	61.86	51.56	3.65	22.42
280.7	142.05	98.12	126.11	99.09	218.44	166.09	140.79	65.45	146.04	162.74	154.75	124.87	133.02	138.83	215.54	179.6	69.42	61.07	22.04	2.43
